id,obra,menciones,lugar,tipo,región,zona,continente,lat,lng,autor,composición,publicación,Libro
https://www.geonames.org/3106672,Los amantes sin amor,4,Valladolid,ciudad,Castilla,España,Europa,41.65518,-4.72372,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3337388,Los amantes sin amor,2,Flandes,región,,Países Bajos,Europa,51,4.5,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/2510769,Los amantes sin amor,3,España,país,,,Europa,40.463667,-3.74922,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3173435,Los amantes sin amor,1,Milán,ciudad,,Italia,Europa,45.46427,9.18951,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/2485920,Los amantes sin amor,2,Orán,ciudad,,Argelia,África,35.66667,-0.5,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3175395,Los amantes sin amor,8,Italia,país,,,Europa,42.83333,12.83333,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3117766,Los amantes sin amor,4,Nápoles,ciudad,Aragón,Italia,Europa,40.8563100,14.2464100,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3104199,Los amantes sin amor,1,Castilla,región,,,Europa,41.66667,-4.25,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3117735,Los amantes sin amor,6,Madrid,ciudad,Castilla,España,Europa,40.4165,-3.70256,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/2509954/valencia.html,Los amantes sin amor,1,Valencia,ciudad,Aragón,España,Europa,39.46975,-0.37739,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/2518878,Los amantes sin amor,1,Denia,ciudad,Aragón,España,Europa,38.84078,0.10574,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3128760,Los amantes sin amor,1,Barcelona,ciudad,Cataluña,España,Europa,41.38879,2.15899,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3169071,Los amantes sin amor,1,Roma,ciudad,,Italia,Europa,41.8925745251,12.4847567763,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://pleiades.stoa.org/places/550595,Los amantes sin amor,1,Troya,ciudad,Anatolia,Antigua Grecia,Asia,39.954496182,26.23666572,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/3573345,Los amantes sin amor,1,Bermuda,país,Indias,,América,32.33022,-64.74003,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3104342,Los amantes sin amor,1,Zamora,ciudad,Castilla,España,Europa,41.50633,-5.74456,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/3176959,Los amantes sin amor,1,Florencia,ciudad,,Italia,Europa,43.77925,11.24626,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/6357709,Los amantes sin amor,2,Granada,ciudad,Andalucía,España,Europa,37.18817,-3.60667,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/2562770,Los amantes sin amor,1,Malta,país,,,Europa,35.91667,14.43333,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3117789,Los amantes sin amor,1,Indias,región,,,América,23.634501,-102.552784,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/2660646,Los amantes sin amor,1,Ginebra,ciudad,,Suiza,Europa,46.20222,6.14569,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/2507480,Los amantes sin amor,1,Argel,ciudad,,Argelia,África,36.73225,3.08746,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
https://www.geonames.org/3372516,Los amantes sin amor,1,Toledo,ciudad,Castilla,España,Europa,39.8581,-4.02263,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/2510911,Los amantes sin amor,7,Sevilla,ciudad,Andalucía,España,Europa,37.38283,-5.97317,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/3553478,Los amantes sin amor,1,La Habana,ciudad,Indias,Cuba,América,23.13302,-82.38304,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
http://www.geonames.org/6299337,Los amantes sin amor,1,Getafe,ciudad,Castilla,España,Europa,40.29414,-3.72383,Lope de Vega,c. 1602,1620,Parte catorce de las comedias de Lope de Vega Carpio
