Lugar,Id,Obras,Menciones,Latitud,Longitud
Mesopotamia,https://pleiades.stoa.org/places/462314,Lo fingido verdadero,1,33.34058,44.40088
Damasco,https://pleiades.stoa.org/places/678106,Lo fingido verdadero,1,33.511612,36.309102
Persia,https://pleiades.stoa.org/places/922695,Lo fingido verdadero,3,29.9353403333,52.889437
Marsella,https://www.geonames.org/2995469,Lo fingido verdadero,1,43.29695,5.38107
Roma antigua,https://pleiades.stoa.org/places/502866838,"Lo fingido verdadero, Fuente Ovejuna",71,41.8925745251,12.4847567763
Troya,https://pleiades.stoa.org/places/550595,"Lo fingido verdadero, Laura perseguida",3,39.954496182,26.23666572
Epiro,https://pleiades.stoa.org/places/530871,Lo fingido verdadero,1,39.5464840166,20.7877021411
Lacedemonia,https://pleiades.stoa.org/places/570406,Lo fingido verdadero,1,37.075742175,22.4601869
Asia,https://www.geonames.org/6255147,Lo fingido verdadero,3,29.84064,89.29688
España,https://www.geonames.org/2510769,Lo fingido verdadero,2,40.463667,-3.74922
Grecia,https://www.geonames.org/390903,Lo fingido verdadero,1,39.074208,21.824312
Indias,https://www.geonames.org/3117789,Lo fingido verdadero,1,23.634501,-102.552784
Libia,https://www.geonames.org/2215636,Lo fingido verdadero,2,26.3351,17.228331
Atenas,https://pleiades.stoa.org/places/579885,"Lo fingido verdadero, Laura perseguida",4,37.9727951076,23.726587521
Siria,https://www.geonames.org/163843,Lo fingido verdadero,1,34.802075,38.996815
Italia,https://www.geonames.org/3175395,"Lo fingido verdadero, Las mudanzas de fortuna y sucesos de don Beltrán de Aragón",3,42.83333,12.83333
Hungría,https://www.geonames.org/719819,Laura perseguida,2,47,20
Etiopía,https://www.geonames.org/337996,Laura perseguida,1,9,39.5
Arabia,https://pleiades.stoa.org/places/29475,Laura perseguida,1,14.9082523955,45.7590517643
España,https://www.geonames.org/2510769,"Laura perseguida, Las mudanzas de fortuna y sucesos de don Beltrán de Aragón, Fuente Ovejuna",5,40.463667,-3.74922
Santiago de Compostela,https://www.geonames.org/3109642,Laura perseguida,1,42.88052,-8.54569
Cleves,https://www.geonames.org/2887835,La hermosa Alfreda,16,51.78826,6.13865
Dalmacia,https://pleiades.stoa.org/places/197240,La hermosa Alfreda,3,43.539561,16.483426
Escocia,https://www.geonames.org/2638360,La hermosa Alfreda,1,56,-4
Chipre,https://www.geonames.org/146669,La hermosa Alfreda,1,35,33
Marruecos,https://www.geonames.org/2542007,La hermosa Alfreda,1,28.5,-10
Aragón,http://www.geonames.org/3336899,"Las mudanzas de fortuna y sucesos de don Beltrán de Aragón, Fuente Ovejuna",32,41.5, -0.66667
Castilla,https://www.geonames.org/3104199,"Las mudanzas de fortuna y sucesos de don Beltrán de Aragón, Fuente Ovejuna",33,41.66667,-4.25
Teruel,https://www.geonames.org/3108126,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,6,40.3456,-1.10646
Zaragoza,https://www.geonames.org/3104324,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,6,41.65606,-0.87734
Navarra,https://www.geonames.org/3115609,"Las mudanzas de fortuna y sucesos de don Beltrán de Aragón, Fuente Ovejuna",4,42.75,-1.66667
Valencia,http://www.geonames.org/2509954,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,3,39.46975,-0.37739
Nápoles,https://www.geonames.org/3117766,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,2,40.8563100,14.2464100
Sevilla,http://www.geonames.org/2510911,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,37.38283,-5.97317
Gibraltar,http://www.geonames.org/2411585,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,36.14474,-5.35257
África,https://www.geonames.org/6255146,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,7.1881,21.09375
Mallorca,http://www.geonames.org/2514239,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,39.6078,3.01197
Portugal,https://www.geonames.org/2264397,"Las mudanzas de fortuna y sucesos de don Beltrán de Aragón, Fuente Ovejuna",6,39.6945,-8.13057
Madrid,https://www.geonames.org/3117735,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,40.4165,-3.70256
Francia,https://www.geonames.org/3017382,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,46,2
Toledo,https://www.geonames.org/3372516,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,39.8581,-4.02263
Barcelona,https://www.geonames.org/3128760,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,41.38879,2.15899
Jaca,http://www.geonames.org/3120211,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,42.56898,-0.54987
Jerusalén,https://pleiades.stoa.org/places/687928,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,1,31.776679,35.234156
Almagro,https://www.geonames.org/2521928,Fuente Ovejuna,2,38.88941,-3.71131
Ciudad Real,https://www.geonames.org/2519401,Fuente Ovejuna,10,39,-4
Andalucía,https://www.geonames.org/3117825,Fuente Ovejuna,1,37.6000000,-4.5000000
