id,obra,menciones,lugar,tipo,región,zona,continente,lat,lng,autor,composición,publicación,Libro,Género,Subgénero
https://www.geonames.org/2264397,Fuente Ovejuna,5,Portugal,país,,,Europa,39.6945,-8.13057,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/3104199,Fuente Ovejuna,12,Castilla,región,,,Europa,41.66667,-4.25,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
http://www.geonames.org/3336899,Fuente Ovejuna,5,Aragón,región,,España,Europa,41.5, -0.66667,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/2521928,Fuente Ovejuna,2,Almagro,ciudad,Castilla,España,Europa,38.88941,-3.71131,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/2519401,Fuente Ovejuna,10,Ciudad Real,ciudad,Castilla,España,Europa,39,-4,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/3117825,Fuente Ovejuna,1,Andalucía,región,,España,Europa,37.6000000,-4.5000000,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/6357224,Fuente Ovejuna,36,Fuente Obejuna,ciudad,Andalucía,España,Europa,38.26232,-5.45186,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
http://www.geonames.org/6357709,Fuente Ovejuna,3,Granada,ciudad,Andalucía,España,Europa,37.18863,-3.59078,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/3115609,Fuente Ovejuna,1,Navarra,región,,España,Europa,42.75,-1.66667,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
http://www.geonames.org/2593112,Fuente Ovejuna,1,Extremadura,región,,España,Europa,39.16667,-6.16667A18:AMJ18,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/2519240,Fuente Ovejuna,3,Córdoba,ciudad,Andalucía,España,Europa,37.89155,-4.77275,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
http://www.geonames.org/664661,Fuente Ovejuna,1,Transilvania,región,,Rumania,Europa,46.5,25,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/2921044,Fuente Ovejuna,1,Alemania,país,,,Europa,51.5,10.5,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/3016565,Fuente Ovejuna,1,Gascuña,región,,Francia,Europa,43.5,0,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://pleiades.stoa.org/places/550587,Fuente Ovejuna,1,Hircania,ciudad,,Imperio persa,Asia,38.7184715253,27.5626572101,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://www.geonames.org/2510769,Fuente Ovejuna,1,España,país,,,Europa,40.463667,-3.74922,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
https://pleiades.stoa.org/places/502866838,Fuente Ovejuna,1,Roma,ciudad,,Imperio romano,Europa,41.8925745251,12.4847567763,Lope de Vega,c. 1612-1614,1619,Parte XII de las comedias de Lope de Vega,Drama,Villanesco
